,Close,Volume,SMA_100,RSI_14,Overbought,Oversold,Below_SMA,High_Volume,WTI_Close,WTI_Change,EC_WTI_Ratio,WTI_Volatility,Target
0,8.140000343322754,1246200,7.356800012588501,49.8402670777117,0,0,0,0,35.88999938964844,0.005322090270267532,0.22680413707118896,1.6433522587464495,0
1,8.210000038146973,3511400,7.344000015258789,44.91227694458545,0,0,0,1,37.75,0.05182503878470479,0.2174834446615136,1.6612839316355787,1
2,7.889999866485596,1301000,7.330800013542175,31.768944865363977,0,0,0,0,37.2599983215332,-0.012980176913027774,0.2117552393932416,1.6320500716944175,0
3,8.239999771118164,1497800,7.324500012397766,41.41413281896972,0,0,0,0,39.720001220703125,0.06602262506673928,0.20745215296591518,1.6472597927222912,0
4,8.5,1688800,7.322300009727478,43.50649752772236,0,0,0,1,40.36000061035156,0.016112773665144076,0.21060455573218867,1.6823324620793667,0
5,9.130000114440918,2517800,7.321900010108948,55.80736371709317,0,0,0,1,42.16999816894531,0.04484632138805078,0.21650463620364477,1.788293875539605,0
6,9.329999923706055,1792200,7.329300007820129,63.26530640616246,0,0,0,1,41.7599983215332,-0.00972254838071207,0.22341954732936184,1.9650465176748906,1
7,9.239999771118164,1116900,7.334400010108948,66.1585297597293,0,0,0,0,41.5,-0.006226013696919552,0.22265059684076285,2.1002054591498243,1
8,9.010000228881836,1010000,7.338900008201599,57.72870515360328,0,0,0,0,40.36000061035156,-0.02746986481080571,0.22324083474712675,2.1367725010255785,0
9,9.130000114440918,1075000,7.345200009346009,63.725499362502696,0,0,0,0,39.779998779296875,-0.014370709174516882,0.22951232760965837,2.142434890252878,0
10,9.5600004196167,1380500,7.354100012779236,65.20377248609549,0,0,0,0,41.08000183105469,0.032679816280798635,0.23271665022328675,2.2032935739636414,0
11,9.800000190734863,1266200,7.364200015068054,67.44869384331713,0,0,0,0,42.630001068115234,0.03773123583185467,0.229885056131651,2.370128752446189,1
12,9.75,1685900,7.374700016975403,68.04734570928275,0,0,0,1,43.18000030517578,0.012901694189069834,0.22579897936159402,2.4264183385764375,0
13,9.800000190734863,1086300,7.388300023078918,72.98137906074314,1,0,0,0,43.72999954223633,0.012737360657096186,0.22410245348913332,2.2928190035870055,1
14,9.550000190734863,1618100,7.39990002155304,71.42856935806702,1,0,0,1,42.63999938964844,-0.02492568406123863,0.22396811269217798,1.9265422882718704,0
15,9.84000015258789,736600,7.415500025749207,73.21937333548522,1,0,0,0,44.040000915527344,0.032833056893025736,0.22343324127598357,1.843394286081723,0
